OBJECTID_1,PROVINCE,CITY,COUNTY,AET,PM2.5,ppt,tem,wind,NOX,SO2,fertilzier,manure
1710,上海市,市辖区,松江区,32.741935,30.766667,70.367742,6.390323,3.041935,135.5975672,48.5209724,3157.272119,5118.105105
1711,上海市,市辖区,闵行区,34.595,29.736363,74.57,6.75,3.24,60.67731927,10.76666747,1063.650866,14.134321
1712,上海市,县,崇明区,32.758716,22.56,73.088073,5.910092,4.275229,70.2055903,17.06017389,11683.49945,9006.325025
1713,江西省,上饶市,德兴市,36.176364,36.975,84.609091,8.48,2.079091,21.85443334,3.052328328,2161.454166,2300.965049
1714,江西省,上饶市,广丰区,38.8,29.385,101.034247,9.387671,2.026027,82.5314745,23.88721459,3019.639966,11782.08953
1715,江西省,上饶市,横峰县,38.987879,26.3125,98.824242,9.436364,2.127273,57.14570019,9.491042087,812.188086,3432.186227
1716,江西省,上饶市,铅山县,37.55625,27.15,104.183036,9.028571,1.980357,48.45506418,7.767330425,5534.181295,3160.8568
1717,江西省,上饶市,上饶县,38.204,24.5,100.2976,9.08,2.0312,274.4062381,64.99335942,3979.020715,2488.860407
1718,江西省,上饶市,万年县,38.221311,22.616666,90.736066,9.032787,2.222951,605.2507354,304.4357172,3385.431259,13242.10971
1719,江西省,上饶市,信州区,38.676471,22.200001,99.782353,9.782353,2.0,67.19130252,12.60653458,544.963313,1271.087631
1720,江西省,上饶市,余干县,37.34,26.299999,91.9632,8.6728,2.2024,209.4967558,78.31950552,16628.39023,9228.453881
1721,江西省,上饶市,玉山县,36.43587,20.5,91.101087,8.525,2.059783,200.9129089,50.06790587,3501.082639,3644.038837
1722,江西省,上饶市,鄱阳县,37.414865,44.433333,77.293694,8.110811,2.186036,586.8338478,319.7415649,16178.92691,11170.00755
1723,江西省,上饶市,弋阳县,38.480723,42.8125,98.83494,9.544578,2.081928,943.0269962,363.4459999,4915.621652,4549.567112
1724,江西省,上饶市,婺源县,34.004516,37.276923,73.529677,7.610323,2.262581,89.69977582,15.01595355,2047.993163,3115.119947
1725,广东省,韶关市,乐昌市,38.377419,34.55,86.479839,10.470968,1.985484,22.93061627,8.436080842,8719.02605,6657.759924
1726,广东省,韶关市,南雄市,44.633333,42.370588,142.5425,11.895833,1.92,55.93277469,12.67267297,8803.836204,10844.30725
1727,广东省,韶关市,曲江区,47.215854,39.611111,116.493902,13.278049,1.952439,41.90793657,13.41026103,5728.930032,6287.555746
1728,广东省,韶关市,仁化县,42.444915,43.636364,111.355085,11.571186,1.988983,266.6879037,81.44845128,4179.144135,5217.185426
